Tags,Create At,Text
COVID ARYNews ,Thu Apr 01 07:38:46 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ARYNews ,Thu Apr 01 07:36:49 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ARYNews ,Thu Apr 01 07:33:12 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ARYNews ,Thu Apr 01 07:32:55 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
,Thu Apr 01 07:30:40 +0000 2021,@NiaziShamin April Fool's joke about Covid-19? REALLY?
,Thu Apr 01 07:26:24 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
covid_third_wave aaafm karachi islamabad lahore disinfecting covid19 ,Thu Apr 01 07:24:03 +0000 2021,"#covid_third_wave

Coronavirus safety precautions.

#aaafm #karachi #islamabad #lahore #disinfecting #covid19 #covid19outbreak #corporatecultures #healthyworkplace #CoronaVirusPakistan #facilitymanagement #publichealth #safety #healthandsafety #workplacesafety #corona #covid https://t.co/a3LE47tyEe"
MWLKarachi Covid_19 ,Thu Apr 01 07:23:29 +0000 2021,"Stop the 
Spread of Germs

#MWLKarachi 
#Covid_19 https://t.co/cljEI3Jc1x"
Pakistan ,Thu Apr 01 07:22:14 +0000 2021,"According to the latest government data, #Pakistan has reported the highest single-day toll since June 30 with 4,974 new COVID-19 cases in the last 24 hours. The alarming third wave of #COVID19 increased the countrywide death tally upto 14,530 with 98 more deaths. https://t.co/I4zmZlfmCk"
,Thu Apr 01 07:21:20 +0000 2021,@Shafqat_Mahmood Eve uae has canceled cambridge exams as students lives matters to them even though the Covid situation is not as bad as Pakistan but wonder why Pakistan is risking its students lives https://t.co/tHmHi84Eee
COVIDー19 ,Thu Apr 01 07:17:32 +0000 2021,How objectively biased our influencers are ! Miraculously  Pakistan rescues it self from the deadly #COVIDー19 1st wave and no credit to IK Govt no effect of #Ehsaas programs while during the 2nd wave covid is spread due to govt negligence. No miracles ? Hypocrites
